timestamp,price,news
2022-02-01,319.00,
2022-02-02,323.00,"Meta reports Q4 2021 results after the session; Q1 revenue guidance is $27-29 billion, daily active Facebook users decline sequentially, and management identifies competition and Apple platform changes as headwinds."
2022-02-03,237.76,
2022-02-04,237.09,
2022-02-07,224.91,
2022-02-08,220.18,
2022-02-09,232.00,
2022-02-10,228.07,
2022-02-11,219.55,
2022-02-14,217.70,
2022-02-15,221.00,
2022-02-16,216.54,
2022-02-17,207.71,
2022-02-18,206.16,
