timestamp,price,news
2020-02-19,338.34,"WHO warns that the outbreak has the potential to cause severe political, social, and economic upheaval; this session close is the pre-reaction t=0 price anchor."
2020-02-20,336.95,
2020-02-21,333.48,
2020-02-24,322.42,
2020-02-25,312.65,
2020-02-26,311.50,
2020-02-27,297.51,
2020-02-28,296.26,
2020-03-02,309.09,
2020-03-03,300.24,
2020-03-04,312.86,
2020-03-05,302.46,
2020-03-06,297.46,
2020-03-09,274.23,
2020-03-10,288.42,
2020-03-11,274.36,
2020-03-12,248.11,
2020-03-13,269.32,
2020-03-16,239.85,
2020-03-17,252.80,
2020-03-18,240.00,
2020-03-19,240.51,
2020-03-20,228.80,
2020-03-23,222.95,
2020-03-24,243.15,
2020-03-25,246.79,
2020-03-26,261.20,
2020-03-27,253.42,
2020-03-30,261.65,
2020-03-31,257.75,
2020-04-01,246.15,
2020-04-02,251.83,
2020-04-03,248.19,
2020-04-06,264.86,
2020-04-07,265.13,
2020-04-08,274.03,
2020-04-09,278.20,
2020-04-13,275.66,
2020-04-14,283.79,
2020-04-15,277.76,
2020-04-16,279.10,
2020-04-17,286.64,
2020-04-20,281.59,
2020-04-21,273.04,
2020-04-22,279.10,
2020-04-23,279.08,
2020-04-24,282.97,
2020-04-27,287.05,
2020-04-28,285.73,
2020-04-29,293.21,
2020-04-30,290.48,
2020-05-01,282.79,
2020-05-04,283.57,
2020-05-05,286.19,
2020-05-06,284.25,
2020-05-07,287.68,
2020-05-08,292.44,
2020-05-11,292.50,
2020-05-12,286.67,
2020-05-13,281.60,
2020-05-14,284.97,
2020-05-15,286.28,
2020-05-18,295.00,
2020-05-19,291.97,
2020-05-20,296.93,
2020-05-21,294.88,
2020-05-22,295.44,
2020-05-26,299.08,
2020-05-27,303.53,
2020-05-28,302.97,
2020-05-29,304.32,
2020-06-01,305.55,
2020-06-02,308.08,
2020-06-03,312.18,
2020-06-04,311.36,
2020-06-05,319.34,
2020-06-08,323.20,
2020-06-09,320.79,
2020-06-10,319.00,
2020-06-11,300.61,
2020-06-12,304.21,
2020-06-15,307.05,
2020-06-16,312.96,
2020-06-17,311.66,
2020-06-18,311.78,
2020-06-19,308.64,
2020-06-22,310.62,
2020-06-23,312.05,
2020-06-24,304.09,
2020-06-25,307.35,
2020-06-26,300.05,
2020-06-29,304.46,
2020-06-30,308.36,
2020-07-01,310.52,
2020-07-02,312.23,
2020-07-06,317.05,
2020-07-07,313.78,
2020-07-08,316.18,
2020-07-09,314.38,
2020-07-10,317.59,
2020-07-13,314.84,
2020-07-14,318.92,
2020-07-15,321.85,
2020-07-16,320.79,
2020-07-17,321.72,
2020-07-20,324.32,
2020-07-21,325.01,
2020-07-22,326.86,
2020-07-23,322.96,
2020-07-24,320.88,
2020-07-27,323.22,
2020-07-28,321.17,
2020-07-29,325.12,
2020-07-30,323.96,
2020-07-31,326.52,
2020-08-03,328.79,
2020-08-04,330.06,
2020-08-05,332.11,
2020-08-06,334.33,
2020-08-07,334.57,
2020-08-10,335.57,
2020-08-11,332.80,
2020-08-12,337.44,
2020-08-13,336.83,
2020-08-14,336.84,
2020-08-17,337.91,
2020-08-18,338.64,
